bt,km,transmission,owner,modelYear,price,place,Insurance Validity,Fuel Type,Seats,Engine Displacement,oem_encoded,num_features,num_Comfort,num_Interior,num_Exterior,frequency_encoded_model,variantName_encoded
0.0,120000,0,3,2015,400000,2,0.0,0.0,5,998,20,8,10,7,5,0.0181622655036444,0.04026765443900108
1.0,32706,0,2,2018,811000,2,1.0,0.0,5,1497,6,9,17,12,12,0.01995459433624089,0.0016728402437567213
0.0,11949,0,1,2018,585000,2,1.0,0.0,5,1199,29,9,14,12,13,0.011470904528617517,0.0032261918986736765
2.0,17794,0,1,2014,462000,2,1.0,0.0,5,1197,9,9,16,10,10,0.006332895208507588,0.0002389771776795316
1.0,60000,0,1,2015,790000,2,0.0,1.0,5,1248,20,9,21,11,13,0.003465169076353208,0.0003584657665192974
1.0,20000,0,1,2020,1900000,2,0.0,1.0,5,1956,12,9,13,11,15,0.012307324650495877,0.000597442944198829
0.0,37772,0,1,2017,345000,2,1.0,0.0,5,1198,4,9,11,8,5,0.0017923288325964871,0.0001194885888397658
1.0,30000,1,1,2021,1200000,2,0.0,0.0,5,998,9,9,20,11,12,0.00967857569602103,0.0015533516549169554
2.0,37000,1,1,2018,960000,2,1.0,0.0,5,1462,20,9,22,12,11,0.015294539371490022,0.000597442944198829
0.0,11949,0,1,2017,585000,2,1.0,0.0,5,1199,29,9,14,11,13,0.011470904528617517,0.0002389771776795316
0.0,50000,0,1,2018,690000,2,0.0,0.0,5,1197,20,9,11,10,12,0.03524913370773091,0.007288803919225714
0.0,24887,1,1,2019,682000,2,0.0,0.0,5,1197,9,9,15,9,11,0.03106703309833911,0.0017923288325964871
0.0,23000,1,1,2018,825000,2,1.0,0.0,5,1199,8,9,21,13,13,0.01338272195005377,0.002389771776795316
0.0,48928,1,1,2018,595000,2,1.0,0.0,5,1199,29,9,17,11,13,0.011470904528617517,0.0008364201218783606
1.0,108862,0,3,2014,690000,2,1.0,1.0,7,2179,17,9,17,10,11,0.015414027960329788,0.00227028318795555
1.0,80000,0,1,2018,1350000,2,0.0,1.0,5,1956,12,9,14,12,16,0.012307324650495877,0.0015533516549169554
1.0,16000,1,1,2022,5595000,2,1.0,1.0,5,1950,21,9,26,15,23,0.0003584657665192974,0.0001194885888397658
0.0,65376,0,2,2014,521000,2,1.0,1.0,5,1396,9,9,11,11,13,0.03955072290596248,0.0015533516549169554
1.0,10000,0,1,2022,1005000,2,0.0,0.0,5,1199,29,9,14,10,11,0.01051499581789939,0.0002389771776795316
2.0,67000,0,2,2016,775000,2,1.0,0.0,5,1497,8,9,17,12,10,0.04421077787071335,0.006093918030828056
2.0,100000,1,3,2011,2200000,2,0.0,1.0,5,1995,1,9,19,12,12,0.004421077787071335,0.0003584657665192974
0.0,18083,0,1,2016,582000,2,1.0,0.0,5,1197,20,9,11,7,7,0.041821006093918034,0.04026765443900108
1.0,30000,0,1,2020,1090000,2,0.0,0.0,5,1498,27,9,15,10,11,0.008364201218783606,0.0002389771776795316
